light_pattern_id;light_pattern_name;color_cycle_sec;bright_cycle_sec;fade_width;min_brightness;gradient_speed;center_x;center_y;radius;window_width;radius_osc;x_amp;y_amp;x_cycle_sec;y_cycle_sec
1;Smooth Orbit;18;14;9;12;0.60;0;0;22;24;4;3.5;2.5;22;20
2;Slow Breathing;30;28;16;8;0.30;0;0;18;28;2;2;2;32;34
3;Rapid Sparks;8;6;4;20;1.20;0;0;10;14;6;5;7;9;11
4;Wide Sweep;20;18;11;12;0.60;6;-4;40;48;3;8;5;26;24
5;Calm Center;24;18;6;4;0.200;0;0;8;12;1.5;1.5;1.5;40;36
6;Energetic Pulse;12;10;8;16;0.8012;0;0;16;20;4;3;4;16;18
7;Radiant Glow;16;14;10;10;0.4006;0;0;20;26;2.5;2.5;3;28;30
8;Twinkling Stars;10;8;5;18;1.0024;0;0;12;16;5;4;6;12;14
9;Gentle Waves;22;20;12;8;0.3012;0;0;24;32;3.5;4;3.5;30;28
10;Vibrant Flash;6;4;3;22;1.5048;0;0;6;8;7;6;8;8;10
11;Pulsing Halo;14;12;9;14;0.5012;0;0;14;18;4;4;4;20;22
12;Dynamic Flow;18;16;11;10;0.6024;0;0;22;26;3;5;4;24;26
13;Serene Fade;26;22;15;6;0.2003;0;0;30;36;2;2;2;36;38


